,country,population
47,Uzbekistan,31360836.0
179,Vanuatu,313046.0
235,Vatican City,1000.0
49,Venezuela,30518260.0
15,Vietnam,104799174.0
221,Wallis and Futuna,15929.0
138,West Bank,2949246.0
171,Western Sahara,565581.0
46,Yemen,31565602.0
62,Zambia,20216029.0
72,Zimbabwe,15418674.0
